"exercise_slug","legacy_asset_path","phase_id","variant_key","replacement_asset_path","asset_version","replacement_status"
"machine-incline-chest-press","backend/assets/exercise-guides/machine-incline-chest-press-start.svg","eccentric_end","canonical_bilateral_selectorized_incline","backend/assets/exercise-guides/human-v1/machine-incline-chest-press/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"machine-incline-chest-press","backend/assets/exercise-guides/machine-incline-chest-press-active.svg","concentric_end","canonical_bilateral_selectorized_incline","backend/assets/exercise-guides/human-v1/machine-incline-chest-press/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"independent-lever-chest-press","backend/assets/exercise-guides/independent-lever-chest-press-start.svg","eccentric_end","canonical_bilateral_plate_loaded_independent","backend/assets/exercise-guides/human-v1/independent-lever-chest-press/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"independent-lever-chest-press","backend/assets/exercise-guides/independent-lever-chest-press-active.svg","concentric_end","canonical_bilateral_plate_loaded_independent","backend/assets/exercise-guides/human-v1/independent-lever-chest-press/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"lever-high-row","backend/assets/exercise-guides/lever-high-row-start.svg","eccentric_end","canonical_bilateral_plate_loaded_high_row","backend/assets/exercise-guides/human-v1/lever-high-row/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"lever-high-row","backend/assets/exercise-guides/lever-high-row-active.svg","concentric_end","canonical_bilateral_plate_loaded_high_row","backend/assets/exercise-guides/human-v1/lever-high-row/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"lever-low-row","backend/assets/exercise-guides/lever-low-row-start.svg","eccentric_end","canonical_bilateral_plate_loaded_low_row","backend/assets/exercise-guides/human-v1/lever-low-row/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"lever-low-row","backend/assets/exercise-guides/lever-low-row-active.svg","concentric_end","canonical_bilateral_plate_loaded_low_row","backend/assets/exercise-guides/human-v1/lever-low-row/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"independent-lever-lat-pulldown","backend/assets/exercise-guides/independent-lever-lat-pulldown-start.svg","eccentric_end","canonical_bilateral_plate_loaded_independent","backend/assets/exercise-guides/human-v1/independent-lever-lat-pulldown/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"independent-lever-lat-pulldown","backend/assets/exercise-guides/independent-lever-lat-pulldown-active.svg","concentric_end","canonical_bilateral_plate_loaded_independent","backend/assets/exercise-guides/human-v1/independent-lever-lat-pulldown/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
